,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
01/07/2013,,,-15387.65870355,97252.52216453,112640.18086808,5699.5,,,7082.80066535,72583.84008954,11666.80575533,53834.23366886,-3086.78454715,24668.68207499,,,,,,,,,,,51.1,51.3,50.2,49.6,49.9,27755.46662214,,,,,,,,,,,,,,,,,,,,,50.4,49.3,66.2,50.6,,,,,,,,,,,,,,,,,,,19383.67,3996.01129645,-15387.65870355,48,49.6,50.6,48.5,,,,,,,,,,,,,,,,,,,,,
01/08/2013,,,-21183.34088698,88990.68248042,110174.0233674,5714.9,,,5809.41490071,64109.43038681,16058.13989728,42241.87558882,-5733.2471008,24881.25209361,,,,,,,,,,,51.9,53.9,50.3,50,50.1,30614.49919441,,,,,,,,,,,,,,,,,,,,,51.2,48.7,67.3,52.7,,,,,,,,,,,,,,,,,,,21259.41,76.06911302,-21183.34088698,47.5,50.8,51.7,47.7,,,,,,,,,,,,,,,,,,,,,
01/09/2013,,,-19676.96640405,86606.73696582,106283.70336987,6356.5,,,1374.18117532,61581.67483448,14032.31096806,46175.1826911,-11763.3510416,25025.06213134,2.10939824,3.01670987,2.65573209,6.5271453,1.71756042,,2.25496502,3.13320132,3.45009589,,52.4,55.1,50.7,50,50,36788.41317294,,,,,,,,,,,,,,,,,,,,,51.4,48.1,65.3,52.2,391321.8,214960,17952.6481,1520.5267,,,,,,,6215.7818,,,,,,,,9287.8,-10389.16640405,-19676.96640405,48.5,51.7,51.2,48.7,,56228.9001,14360.7977,35604.9917,113.9632307,61029.6748,40879.2021,18144.878,9402.7299,8107.9064,21271.149,342.78558598,36309.3562,262227.0621,,2489.96074947,325847.9866,282467.0422,43380.9444,29365.9088,
01/10/2013,,,-6658.12428883,100122.34244897,106780.4667378,6367.5,,,8412.76774556,74678.90369936,12929.30665859,53336.82929521,-2712.54915804,25443.43874961,,,,,,,,,,,51.9,55.2,51.6,51,50.7,28155.98790765,,,,,,,,,,,,,,,,,,,,,51.5,47.9,66.8,52.5,,,,,,,,,,,,,,,,,,,12358.34,5700.21571117,-6658.12428883,48.5,52,51.3,49.7,,,,,,,,,,,,,,,,,,,,,
01/11/2013,,,3091.69613325,126222.26348578,123130.56735253,6229.3,,,34299.72886718,100548.07000675,18324.19422239,47924.14691718,-4983.76922643,25674.19347903,,,,,,,,,,,53.8,55,51.6,51.2,50.3,30657.96270546,,,,,,,,,,,,,,,,,,,,,52.3,47.9,66.8,53.6,,,,,,,,,,,,,,,,,,,26224.26,29315.95613325,3091.69613325,48.7,51.9,52.6,49,,,,,,,,,,,,,,,,,,,,,
01/12/2013,77447.73564939,,-6197.76276228,119566.68839934,125764.45116163,6354.5,,32780966.4972122,9292.19913367,77823.25669425,18889.82713388,49641.2304267,5453.42130851,41743.43170509,2.40927288,2.85522246,0.00375686,6.30016514,2.99072056,38365914.6983278,1.74196535,2.80701599,3.74506434,3667.69839943,54,55.2,51.2,51.6,50.8,36290.01039658,465358.22288813,,,,,,,,,,,,,,,,,33824000,,36508000,52.4,48.3,68.2,53.7,392333.2,215235.8,19071.4559,1494.3292,1116827.08221407,0,927859.59973309,465358.22288813,421192.43832288,257913.7662511,7458.0758,153343.71963356,157370.6030273,42851.08319327,76912.33802284,0,567051.06011584,257913.7662511,20943.38,14745.61723772,-6197.76276228,48.8,51.9,53,49.4,1408.86903141,57534.4602,17112.6555,40660.3174,116.93647524,52193.0184,43206.1394,19047.9328,11126.5085,7760.8471,23491.361,370.27939475,38206.765,260390.2948,10221.20578317,2538.04476956,353855.0955,302917.0744,50938.0211,42373.6911,14962.88634565
01/01/2014,,5446.38157215,-11349.61776823,124741.37769302,136090.99546125,4946.7,,,17544.33436203,100211.70249343,21995.34853047,60672.01960094,-4595.24645514,24529.83831544,,,,,,,,,,,53.4,53.4,50.9,50.8,50.4,29125.08477058,,,,,,,,,,,,,,,,,,,,,52.2,47.6,69.6,53.5,,,,,,,,,,,,,,,,,,,24298.54,12948.92223177,-11349.61776823,48.8,50.7,52.4,48.8,,,,,,,,,,,,,,,,,,,,,
01/02/2014,,5450.327072,-12386.68518529,86828.43306282,99215.11824811,5556.7,,,-512.11450192,61510.12604253,21770.90278264,40251.33776181,-2580.24659882,25318.3699695,,,,,,,,,,,53.4,52.4,51.5,52,50.5,27898.61656832,,,,,,,,,,,,,,,,,,,,,52.3,47.3,70.3,53.7,,,,,,,,,,,,,,,,,,,9294.26,-3092.42518529,-12386.68518529,49,50,52.3,48.9,,,,,,,,,,,,,,,,,,,,,
01/03/2014,,6404.87775585,-7058.86965912,93626.73196051,100685.60161963,5781.1,,,7764.47223902,68597.49527537,13841.74239168,46991.28064467,-4529.58857331,25029.2979987,2.82323517,2.92878181,-0.3068351,5.80752557,3.90718395,,2.19529497,2.57923706,3.89816901,,52.7,50,51.8,51,51.2,29558.88657201,,,,,,,,,,,,,,,,,,,,,51.8,48.8,69.4,52.4,393938.6,215599.3,17160.0655,1873.0126,,,,,,,7732.1406,,,,,,,,10293.69,3234.82034088,-7058.86965912,49.6,48.5,51.7,49.6,,47704.1655,14209.7088,37871.5207,117.77595775,67183.8559,40584.766,15456.831,8467.5644,7615.9208,21629.6099,343.31016698,35193.9595,271070.3935,,2662.50935265,315139.4003,276890.5503,38248.85,23891.2977,
01/04/2014,,6274.37217805,5173.19806765,111949.99924427,106776.80117662,5858.5,,,19574.2978614,85150.86574857,16331.06534931,49245.50253786,-3071.20021012,26799.26313876,,,,,,,,,,,53.3,50.4,51.3,51,50.8,29870.46334888,,,,,,,,,,,,,,,,,,,,,51.8,49.1,68.8,52.8,,,,,,,,,,,,,,,,,,,11329.77,16502.96806765,5173.19806765,48.9,49.6,52.3,49.8,,,,,,,,,,,,,,,,,,,,,
01/05/2014,,6272.32983876,-29073.6066769,90025.99975411,119099.60643101,5863,,,-6429.81844848,63422.50260897,21756.73424661,48095.58681084,-3879.92396859,26603.84085468,,,,,,,,,,,53.6,52.1,52.4,50.9,50.5,30483.76482327,,,,,,,,,,,,,,,,,,,,,52.1,48.6,68.6,53.2,,,,,,,,,,,,,,,,,,,18763.52,-10310.0866769,-29073.6066769,49.9,50.6,53.1,49.2,,,,,,,,,,,,,,,,,,,,,
01/06/2014,,6505.2397832,-21469.69738632,92854.26787908,114323.9652654,6056.4,,,2393.97966359,65976.08564757,14819.11967892,48762.98630506,-4508.42654446,26878.24498398,2.92680743,2.30838284,0.88147232,6.59178076,4.1642169,,2.96485598,-0.13334974,3.45238475,,54,53.7,51.3,51.3,50.8,31386.67152843,,,,,,,,,,,,,,,,,,,,,52.6,48.6,65.8,54.1,395531.3,216222.7,18926.4559,1761.4186,,,,,,,7917.5378,,,,,,,,19355.19,-2114.50738632,-21469.69738632,49.7,50.9,52.8,47.9,,54390.9574,17895.5152,38839.2867,114.93217189,95970.3991,47039.4505,18475.2839,8754.341,8410.3976,21412.9944,392.52171851,40080.5626,312388.9775,,3076.57491187,370525.1637,327388.5284,43136.6353,26757.6488,
01/07/2014,,6883.66553659,-31935.38531796,100963.93621524,132899.3215332,6104.7,,,2929.18149538,74147.02848608,13116.40686738,58101.44012332,-4995.47100839,26817.02352631,,,,,,,,,,,54.2,54.2,51.7,50.7,50.4,31812.49453469,,,,,,,,,,,,,,,,,,,,,52.6,48.7,67,54.1,,,,,,,,,,,,,,,,,,,29868.98,-2066.40531796,-31935.38531796,50.2,51.3,53.4,49.4,,,,,,,,,,,,,,,,,,,,,
01/08/2014,,6603.38191642,-28536.91314808,99693.98747764,128230.90062572,5993.9,,,-4515.90476805,71823.09008657,17410.49195224,58928.50290238,-5861.2409402,27875.5626,,,,,,,,,,,53.8,52.9,52.2,51.2,50.3,33736.8035402,,,,,,,,,,,,,,,,,,,,,52.4,47.8,65.9,53.6,,,,,,,,,,,,,,,,,,,18155.1,-10381.81314808,-28536.91314808,50,50.9,53.2,49.8,,,,,,,,,,,,,,,,,,,,,
01/09/2014,,7054.84704698,-62528.89726024,91374.94799005,153903.84525029,6752.3,,,-6773.7473689,63848.58599491,13953.69351243,56668.63985138,-13642.31525493,27526.45844642,2.60141442,3.19204325,1.10591258,5.45869134,4.51633523,,3.32977547,-0.88204379,2.92141838,,53.2,51.9,52.6,50.9,50.9,41168.77370135,,,,,,,,,,,,,,,,,,,,,52.1,48.5,65.4,53,397108.7,216900.6,19867.9443,1683.3319,,,,,,,7540.9899,,,,,,,,42112.74,-20416.15726024,-62528.89726024,49.8,50,52.8,49.7,,61147.2577,17502.5834,36966.9288,119.19180652,61663.8114,47054.0455,20622.0871,9983.3237,9198.6398,20955.1267,366.94567242,38681.1624,275300.8018,,2627.58725133,348625.5313,299990.0353,48635.496,27977.3286,
01/10/2014,,7130.27802209,-16869.77155234,105821.93046336,122691.7020157,6610.7,,,6867.81212447,78233.36034102,14521.98261762,56843.56559893,-2892.10930269,27589.14605445,,,,,,,,,,,53.2,50.4,50.9,50.7,51.1,30481.25535714,,,,,,,,,,,,,,,,,,,,,52,48.5,64.4,52.6,,,,,,,,,,,,,,,,,,,20844.9,3975.12844766,-16869.77155234,50.2,49.4,52.2,50,,,,,,,,,,,,,,,,,,,,,
01/11/2014,,6919.13421827,-35410.89252179,102295.61852362,137706.51104541,6518.1,,,1548.96826671,73479.01510112,18718.72442108,53211.32241333,-7911.49372932,28818.74962403,,,,,,,,,,,52.1,50.6,50.4,49.8,51,36730.24335335,,,,,,,,,,,,,,,,,,,,,51.6,48.3,63.5,52.1,,,,,,,,,,,,,,,,,,,29046.21,-6364.68252179,-35410.89252179,49.9,49.7,51.7,49.6,,,,,,,,,,,,,,,,,,,,,
01/12/2014,81510.54348721,8113.64905965,-39516.71377173,120602.65625176,160119.37002349,6778.3,,,-789.12419077,76885.34845558,21929.02812945,55745.4445169,1769.14671805,43717.33732,2.22571662,2.62071962,2.31051186,6.59326714,3.5032752,41915863.3560275,4.03481163,-0.36929029,2.55979876,3531.6388757,51.9,49.6,51.3,50.7,50.8,41948.19061454,477909.03870919,,,,,,,,,,,,,,,,,,,,51.4,48.5,64.2,52,398547.4,217380.3,23774.4527,2264.7635,1183039.11012356,0,917050.49103795,477909.03870919,427009.98165529,206556.94381429,8982.0492,154079.81741907,161848.5477091,44070.40100997,114338.57001455,0,481916.87639851,206556.94381429,40496.71,979.99622827,-39516.71377173,48.9,49.1,51.5,49.6,1512.44145347,57972.3642,21433.7538,40822.459,120.36964084,54105.4706,45267.7657,19757.2307,11809.6691,9935.1345,21703.6132,409.66389556,45832.8038,260887.2994,10718.78376458,2352.11224873,361014.5369,313574.0612,47440.4757,41541.7818,38338
01/01/2015,,5758.63294434,-5498.97517749,125346.64238007,130845.61755756,4934.9,,,16212.33314637,99430.44962099,22489.33810133,60728.77837329,-5651.60241412,25916.19275908,,,,,,,,,,,52.6,46.1,50.9,50.1,50.9,31567.7951732,,,,,,,,,,,,,,,,,,,,,51.5,49,64.6,52,,,,,,,,,,,,,,,,,,,16059.71,10560.73482251,-5498.97517749,48.8,48.6,51.2,49.4,,,,,,,,,,,,,,,,,,,,,
01/02/2015,,5802.92224315,-59661.33868805,91551.03346277,151212.37215082,5641.8,,,-1578.00024802,64561.43061791,21735.40895597,44404.02190996,-5875.39936342,26989.60284486,,,,,,,,,,,53.1,47.5,50.4,50.7,50.9,32865.00220828,,,,,,,,,,,,,,,,,,,,,51.9,48.6,67.7,52.4,,,,,,,,,,,,,,,,,,,52207.94,-7453.39868805,-59661.33868805,50,49.5,51.4,49.9,,,,,,,,,,,,,,,,,,,,,
01/03/2015,,6893.2034003,-65388.82500728,97254.08756869,162642.91257597,6044.1,,,8069.84874625,70216.15507967,14818.28916655,47328.01716687,-6522.91817448,27037.93248902,2.46452922,2.34101619,3.13265831,5.39907338,3.55922052,,3.65652321,0.00477891,2.54089228,,53.1,49.4,50.5,51.2,50.4,33560.8506635,,,,,,,,,,,,,,,,,,,,,51.6,48.7,65.4,52.2,399054.8,217450.1,16927.1543,2015.4345,,,,,,,7605.2429,,,,,,,,66935.76,1546.93499272,-65388.82500728,49,49.7,51.6,49.3,,48606.22,16761.9253,37565.8887,119.07271739,69096.1689,42836.2384,16392.9372,8703.6296,8815.1258,21092.9829,277.11793667,34532.9761,272134.5328,,2199.98047828,318740.6791,283589.7107,35150.9684,22506.2883,
01/04/2015,,6371.0955524,15004.65580602,117300.71890418,102296.06309816,6003.939,,,13260.0594045,86848.59127929,18335.13341855,55253.39845624,-3111.89058634,30452.12762489,,,,,,,,,,,51.9,49.4,50.3,49.6,50.4,33564.01821123,,,,,,,,,,,,,,,,,,,,,50.9,49,64.3,51.1,,,,,,,,,,,,,,,,,,,-4856.49,10148.16580602,15004.65580602,48.8,49.3,50.3,49.3,,,,,,,,,,,,,,,,,,,,,
01/05/2015,,6446.39416687,-52691.11893006,97003.76579811,149694.88472817,5654.484,,,-1505.00456268,68683.59808443,20033.23936804,50155.36327907,-6311.12966573,28320.16771368,,,,,,,,,,,51.6,52.2,49.6,49.9,50.7,34631.29737941,,,,,,,,,,,,,,,,,,,,,51,48.9,64.1,51.3,,,,,,,,,,,,,,,,,,,44874.98,-7816.13893006,-52691.11893006,49.2,50.3,50.5,49.2,,,,,,,,,,,,,,,,,,,,,
01/06/2015,,6942.19245639,-30505.07338612,97877.30160828,128382.3749944,6224.2053,,,-1958.41390981,70277.29097832,17003.38049259,55232.32439554,-6266.48551117,27600.01272746,2.05788667,3.13899795,2.92455796,5.81707213,0.8890623,,4.01970664,2.09519398,2.04775012,,51.5,52.3,50.5,50.1,50.5,33866.49823863,,,,,,,,,,,,,,,,,,,,,51,49.1,64.4,51.5,399829.3,217353.9,20250.7063,2545.2069,,,,,,,8058.02,,,,,,,,22280.17,-8224.90338612,-30505.07338612,49.9,50.1,51.4,49.1,,54362.1728,19662.0114,39402.4512,118.88607637,96561.8332,51486.8335,20393.1939,9339.5772,9796.4369,20833.6183,312.48984866,39766.3881,305405.4131,,2419.9191135,383671.2964,340468.7012,43202.5952,30965.7469,
01/07/2015,,7202.47317996,-63050.98254247,105173.14747847,168224.13002094,6423.8828,,,-1646.30948434,77180.72201922,14596.99759482,64230.03390874,-5671.59212213,27992.42545925,,,,,,,,,,,51.2,50.6,49.4,50.3,50.2,33664.01758138,,,,,,,,,,,,,,,,,,,,,50.7,49,62.1,50.9,,,,,,,,,,,,,,,,,,,55733.08,-7317.90254247,-63050.98254247,49.2,49.1,50.2,49.2,,,,,,,,,,,,,,,,,,,,,
01/08/2015,,7049.78542898,-48315.44441163,95395.01513293,143710.45954456,6197.2423,,,290.8780393,67429.3358805,16606.8503678,50531.6074734,-5153.53350817,27965.67925243,,,,,,,,,,,50.7,50.4,49.4,50,49.8,33119.2127606,,,,,,,,,,,,,,,,,,,,,50.3,49.5,62,50.6,,,,,,,,,,,,,,,,,,,43452.79,-4862.65441163,-48315.44441163,48.7,49.3,49.8,49,,,,,,,,,,,,,,,,,,,,,
01/09/2015,,7562.64798196,-76002.94509626,95470.95724701,171473.90234327,6365.1964,,,2885.791337,68163.10343402,13215.76792998,52061.54416704,-9690.27784229,27307.85381299,2.59321744,2.19128612,3.44557418,6.2656992,-0.33923665,,4.28310553,1.93417678,3.2240349,,50.5,48.4,48.9,50.7,49.4,36998.13165528,,,,,,,,,,,,,,,,,,,,,50.2,48.9,62.6,50.6,400660.3,217249.9,20505.011,2208.3374,,,,,,,7709.402,,,,,,,,69198.46,-6804.48509626,-76002.94509626,48.8,48.5,50.2,50.1,,61113.6729,20187.3012,38606.4196,121.23478428,63628.3463,46262.1319,22016.1667,11311.2456,9843.1924,21801.5129,315.29316192,39575.7137,288107.5199,,2312.89839265,360198.0997,310912.1839,49285.9158,30448.9591,
01/10/2015,,7352.61811478,-19591.71944848,102934.2674057,122525.98685418,7056.9183,,,7525.18774686,76892.91343474,16521.04719131,52846.67849657,-19807.38445569,26041.35537686,,,,,,,,,,,51.3,48.2,50.9,50.4,50.1,45848.73983255,,,,,,,,,,,,,,,,,,,,,50.8,49.1,62.1,51.2,,,,,,,,,,,,,,,,,,,7409.58,-12182.13944848,-19591.71944848,49.1,48.5,50,49.1,,,,,,,,,,,,,,,,,,,,,
01/11/2015,,7283.11112267,-31493.0151498,91956.52015752,123449.53530732,6861.2074,,,-6384.77987416,66003.28487533,17878.09486223,54509.96988726,-14797.7059678,25953.23528219,,,,,,,,,,,51.9,48.1,50.8,50.1,50,40750.94124999,,,,,,,,,,,,,,,,,,,,,50.7,49.2,61.8,50.8,,,,,,,,,,,,,,,,,,,10361.36,-21131.6551498,-31493.0151498,48.8,48.1,50.4,48.7,,,,,,,,,,,,,,,,,,,,,
01/12/2015,84536.45969998,8429.24167832,-105929.69239797,129819.83519828,235749.52759625,5902.5048,,,-64494.88886278,81124.41663948,22525.04807827,123094.25742399,3041.82346704,48695.4185588,2.73145486,1.89194911,3.10457251,6.70739919,-0.81033653,45119612.0592637,4.05146804,1.03068863,3.41471158,3369.797848,51.2,48,50.2,50.1,50.1,45653.59509176,484169.84015521,,,,,,,,,,,,,,,,,,,,50.4,49.3,61.9,50.3,402603.2,218180.3,24656.2352,4083.8231,1226569.79869662,0,995498.3442493,482628.81158276,445203.21980572,226677.6750412,10919.1382,149491.4351585,163467,44511.09598366,86631.32577174,0,527440.76617134,226677.6750412,44570.49,-61359.20239797,-105929.69239797,48.9,48.6,50,49.7,1264.4770706,59997.0875,22958.0922,43110.5925,122.57255396,54422.7065,43810.5352,22544.2633,13289.3161,10520.592,21886.5226,359.57612335,45485.5463,280910.3131,9185.75733102,2252.95934659,371696.4355,324755.4738,46940.9617,43840.8911,29739.25021378
01/01/2016,,5807.26690359,-38125.44609665,141160.98460358,179286.43070024,5768.1269,,,,,,,,,,,,,,,,,,,51.1,48,50,49.9,50,,,,,,,,,,,,,,,,,,,,,,50.6,49.4,62.7,51.2,,,,,,,,,,,,,,,,,,,52973.73,14848.28390335,-38125.44609665,49,49.6,50.7,49.4,,,,,,,,,,,,,,,,,,,,,
01/02/2016,,5993.3355948,-46423.54020804,89576.54336256,136000.0835706,6466.6434,,,,,,,,,,,,,,,,,,,50.2,48.5,49.4,49,49.2,,,,,,,,,,,,,,,,,,,,,,49.9,50,63.4,50.4,,,,,,,,,,,,,,,,,,,21028.79,-25394.75020804,-46423.54020804,48.6,49.2,49.3,48.5,,,,,,,,,,,,,,,,,,,,,
01/03/2016,,7149.6210016,-2470.82815886,98153.10554006,100623.93369891,7020.17,,,,,,,,,2.73949839,1.15617984,3.44964248,7.00102992,-0.66948211,,4.57910264,0.40059689,2.87363458,,51.6,50.1,50,49.7,49.3,,,,,,,,,,,,,,,,,,,,,,50.8,49.4,64,51.8,405840.4,219174.8,18612.8665,2672.069,,,,,,,8505.1259,,,,,,,,-5287.92,-7758.74815886,-2470.82815886,48.9,50,50.7,48.9,,49326.7795,18053.3522,39005.7001,121.70341112,72120.0319,44353.0627,18767.241,9981.4608,8369.2087,21188.6648,285.87405215,35889.0609,277509.0495,,2231.78065051,333041.5262,294223.3859,38818.1403,23319.9995,
01/04/2016,,6617.50522254,-10063.28405854,119396.13259561,129459.41665415,6717.4733,,,,,,,,,,,,,,,,,,,50.8,52.4,49.6,49.3,49.1,,,,,,,,,,,,,,,,,,,,,,50.4,48.4,63.1,51,,,,,,,,,,,,,,,,,,,18875.18,8811.89594146,-10063.28405854,48.4,50.9,49.4,47.5,,,,,,,,,,,,,,,,,,,,,
01/05/2016,,6741.96105107,-52893.43600528,96453.30884251,149346.74484778,6151.8559,,,,,,,,,,,,,,,,,,,50.7,53,49.4,49.4,49.4,,,,,,,,,,,,,,,,,,,,,,50.4,48.7,62.6,51,,,,,,,,,,,,,,,,,,,36022.03,-16871.40600528,-52893.43600528,48.3,50.9,50.3,48.5,,,,,,,,,,,,,,,,,,,,,
01/06/2016,,7198.71862639,-25073.53744982,100285.64653283,125359.18398265,6887.9801,,,,,,,,,3.31692277,1.79067648,3.80219471,6.91998202,1.64887083,,4.82956584,0.29033869,3.64291848,,50.7,52.5,50.4,50.7,49.8,,,,,,,,,,,,,,,,,,,,,,50.6,48.6,62.3,51.2,411141.8,221592.4,21453.8514,2653.3227,,,,,,,9117.8969,,,,,,,,15374.4,-9699.13744982,-25073.53744982,48.8,50.9,50.6,48.6,,56745.8175,21487.8676,39622.7439,121.79589014,98754.1482,45415.4019,21124.97,10451.9409,8106.9468,21287.5845,336.29126615,41174.4593,321818.7783,,2650.11697856,385371.531,341865.5667,43505.9643,30875.2187,
01/07/2016,,7392.35121997,-47662.39892592,107811.51387324,155473.91279916,7033.4195,,,,,,,,,,,,,,,,,,,52.4,53.7,50.7,51.1,50,,,,,,,,,,,,,,,,,,,,,,51.1,49.2,62.8,51.7,,,,,,,,,,,,,,,,,,,28363.72,-19298.67892592,-47662.39892592,49.1,51.7,51.5,49,,,,,,,,,,,,,,,,,,,,,
01/08/2016,,7230.13496938,-55016.30501165,91256.71011917,146273.01513082,6883.9317,,,,,,,,,,,,,,,,,,,52.2,52.9,51,50.6,49.4,,,,,,,,,,,,,,,,,,,,,,50.9,49.1,61.2,51.4,,,,,,,,,,,,,,,,,,,34865.95,-20150.35501165,-55016.30501165,48.9,50.5,50.9,48.9,,,,,,,,,,,,,,,,,,,,,
01/09/2016,,7717.47411066,-57087.68182952,93600.09166083,150687.77349035,7806.562,,,,,,,,,2.30645441,2.30114795,3.07231874,6.9739111,2.13031951,,3.89846997,0.56705209,2.60121074,,52.1,53.3,50.8,50.9,50,,,,,,,,,,,,,,,,,,,,,,51.1,48.9,62.1,51.7,416088.6,224036.5,22718.2073,2886.8353,,,,,,,9259.554,,,,,,,,31817.24,-25270.44182952,-57087.68182952,49.4,51,51.6,49.1,,64934.01,21121.3678,38439.7975,124.44182873,66289.1392,42726.0941,21922.4266,11075.6141,9308.0766,21699.4577,342.83286488,42014.8221,292483.0071,,2410.1610862,366019.2266,316859.9474,49159.2792,32006.8365,
01/10/2016,,7674.94951084,14001.9724526,147833.86700803,133831.89455543,7523.1,,,,,,,,,,,,,,,,,,,53.6,56,50.7,51.3,50.3,,,,,,,,,,,,,,,,,,,,,,52,49,61.8,53,,,,,,,,,,,,,,,,,,,27091.88,41093.8524526,14001.9724526,49.8,53.3,52.7,49.6,,,,,,,,,,,,,,,,,,,,,
