,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
01/06/2013,359025.9683,6902.606,8851.6773,317792.2511,39352.7224,292764.3302,41233.7172,20014.3252,38118.5203,17206.3991,46655.8515,87304.3876,109.2859509,,,,,52924.7871,2729.71947398,,5629.6505,37091.7367,14298.709,,365.1509046,2.63207068,1.93916126,2.75110978,7.73026922,2.96936123,3.18873273,1.87502059,,1.90421099,,50.5,50.4,48.2,48.5,49.1,49.4,49.3,50.8,214977,390761.8,,,,,,,,,,,20375.173,1420.5981,16111.61,1357.15083238,-14754.45916762,65,50.1,50,49.9,47.9,,,90234.27118536,104988.73035298,-14754.45916762,5555.8,,,4536.70660674,66153.24501882,15027.74491667,46588.79349541,-3179.55917076,24081.02616654,27260.5853373,,,,,,,,,,,,,,,,,,,,
01/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,50.6,49.6,48,49.9,49.6,51.3,51.1,,,,,,,,,,,,,,,19383.67,3996.01129645,-15387.65870355,66.2,49.3,50.4,48.5,50.2,,,97252.52216453,112640.18086808,-15387.65870355,5699.5,,,7082.80066535,72583.84008954,11666.80575533,53834.23366886,-3086.78454715,24668.68207499,27755.46662214,,,,,,,,,,,,,,,,,,,,
01/08/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,51.7,50.8,47.5,50.1,50,53.9,51.9,,,,,,,,,,,,,,,21259.41,76.06911302,-21183.34088698,67.3,48.7,51.2,47.7,50.3,,,88990.68248042,110174.0233674,-21183.34088698,5714.9,,,5809.41490071,64109.43038681,16058.13989728,42241.87558882,-5733.2471008,24881.25209361,30614.49919441,,,,,,,,,,,,,,,,,,,,
01/09/2013,325847.9866,8107.9064,9402.7299,282467.0422,36309.3562,262227.0621,43380.9444,21271.149,29365.9088,18144.878,40879.2021,61029.6748,113.9632307,,,,,56228.9001,2489.96074947,,6215.7818,35604.9917,14360.7977,,342.78558598,1.71756042,2.25496502,2.65573209,6.5271453,3.45009589,3.01670987,2.10939824,,3.13320132,,52.2,51.2,51.7,48.5,50,50,55.1,52.4,214960,391321.8,,,,,,,,,,,17952.6481,1520.5267,9287.8,-10389.16640405,-19676.96640405,65.3,48.1,51.4,48.7,50.7,,,86606.73696582,106283.70336987,-19676.96640405,6356.5,,,1374.18117532,61581.67483448,14032.31096806,46175.1826911,-11763.3510416,25025.06213134,36788.41317294,,,,,,,,,,,,,,,,,,,,
01/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,51.3,52,48.5,50.7,51,55.2,51.9,,,,,,,,,,,,,,,12358.34,5700.21571117,-6658.12428883,66.8,47.9,51.5,49.7,51.6,,,100122.34244897,106780.4667378,-6658.12428883,6367.5,,,8412.76774556,74678.90369936,12929.30665859,53336.82929521,-2712.54915804,25443.43874961,28155.98790765,,,,,,,,,,,,,,,,,,,,
01/11/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,52.6,51.9,48.7,50.3,51.2,55,53.8,,,,,,,,,,,,,,,26224.26,29315.95613325,3091.69613325,66.8,47.9,52.3,49,51.6,,,126222.26348578,123130.56735253,3091.69613325,6229.3,,,34299.72886718,100548.07000675,18324.19422239,47924.14691718,-4983.76922643,25674.19347903,30657.96270546,,,,,,,,,,,,,,,,,,,,
01/12/2013,353855.0955,7760.8471,11126.5085,302917.0744,38206.765,260390.2948,50938.0211,23491.361,42373.6911,19047.9328,43206.1394,52193.0184,116.93647524,153343.71963356,14962.88634565,157370.6030273,1408.86903141,57534.4602,2538.04476956,10221.20578317,7458.0758,40660.3174,17112.6555,42851.08319327,370.27939475,2.99072056,1.74196535,0.00375686,6.30016514,3.74506434,2.85522246,2.40927288,38365914.6983278,2.80701599,3667.69839943,53.7,53,51.9,48.8,50.8,51.6,55.2,54,215235.8,392333.2,1116827.08221407,421192.43832288,257913.7662511,257913.7662511,76912.33802284,0,0,567051.06011584,465358.22288813,927859.59973309,19071.4559,1494.3292,20943.38,14745.61723772,-6197.76276228,68.2,48.3,52.4,49.4,51.2,77447.73564939,,119566.68839934,125764.45116163,-6197.76276228,6354.5,32780966.4972122,,9292.19913367,77823.25669425,18889.82713388,49641.2304267,5453.42130851,41743.43170509,36290.01039658,465358.22288813,,,,,,,,,,,,,,,,,33824000,,36508000
01/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,52.4,50.7,48.8,50.4,50.8,53.4,53.4,,,,,,,,,,,,,,,24298.54,12948.92223177,-11349.61776823,69.6,47.6,52.2,48.8,50.9,,5367.36785624,124741.37769302,136090.99546125,-11349.61776823,4946.7,,,17544.33436203,100211.70249343,21995.34853047,60672.01960094,-4595.24645514,24529.83831544,29125.08477058,,,,,,,,,,,,,,,,,,,,
01/02/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,52.3,50,49,50.5,52,52.4,53.4,,,,,,,,,,,,,,,9294.26,-3092.42518529,-12386.68518529,70.3,47.3,52.3,48.9,51.5,,5445.61389693,86828.43306282,99215.11824811,-12386.68518529,5556.7,,,-512.11450192,61510.12604253,21770.90278264,40251.33776181,-2580.24659882,25318.3699695,27898.61656832,,,,,,,,,,,,,,,,,,,,
01/03/2014,315139.4003,7615.9208,8467.5644,276890.5503,35193.9595,271070.3935,38248.85,21629.6099,23891.2977,15456.831,40584.766,67183.8559,117.77595775,,,,,47704.1655,2662.50935265,,7732.1406,37871.5207,14209.7088,,343.31016698,3.90718395,2.19529497,-0.3068351,5.80752557,3.89816901,2.92878181,2.82323517,,2.57923706,,52.4,51.7,48.5,49.6,51.2,51,50,52.7,215599.3,393938.6,,,,,,,,,,,17160.0655,1873.0126,10293.69,3234.82034088,-7058.86965912,69.4,48.8,51.8,49.6,51.8,,6488.60464683,93626.73196051,100685.60161963,-7058.86965912,5781.1,,,7764.47223902,68597.49527537,13841.74239168,46991.28064467,-4529.58857331,25029.2979987,29558.88657201,,,,,,,,,,,,,,,,,,,,
01/04/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,52.3,49.6,48.9,50.8,51,50.4,53.3,,,,,,,,,,,,,,,11329.77,16502.96806765,5173.19806765,68.8,49.1,51.8,49.8,51.3,,6261.73024934,111949.99924427,106776.80117662,5173.19806765,5858.5,,,19574.2978614,85150.86574857,16331.06534931,49245.50253786,-3071.20021012,26799.26313876,29870.46334888,,,,,,,,,,,,,,,,,,,,
01/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,53.1,50.6,49.9,50.5,50.9,52.1,53.6,,,,,,,,,,,,,,,18763.52,-10310.0866769,-29073.6066769,68.6,48.6,52.1,49.2,52.4,,6243.1541015,90025.99975411,119099.60643101,-29073.6066769,5863,,,-6429.81844848,63422.50260897,21756.73424661,48095.58681084,-3879.92396859,26603.84085468,30483.76482327,,,,,,,,,,,,,,,,,,,,
01/06/2014,370525.1637,8410.3976,8754.341,327388.5284,40080.5626,312388.9775,43136.6353,21412.9944,26757.6488,18475.2839,47039.4505,95970.3991,114.93217189,,,,,54390.9574,3076.57491187,,7917.5378,38839.2867,17895.5152,,392.52171851,4.1642169,2.96485598,0.88147232,6.59178076,3.45238475,2.30838284,2.92680743,,-0.13334974,,54.1,52.8,50.9,49.7,50.8,51.3,53.7,54,216222.7,395531.3,,,,,,,,,,,18926.4559,1761.4186,19355.19,-2114.50738632,-21469.69738632,65.8,48.6,52.6,47.9,51.3,,6547.05744916,92854.26787908,114323.9652654,-21469.69738632,6056.4,,,2393.97966359,65976.08564757,14819.11967892,48762.98630506,-4508.42654446,26878.24498398,31386.67152843,,,,,,,,,,,,,,,,,,,,
01/07/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,53.4,51.3,50.2,50.4,50.7,54.2,54.2,,,,,,,,,,,,,,,29868.98,-2066.40531796,-31935.38531796,67,48.7,52.6,49.4,51.7,,6795.45846662,100963.93621524,132899.3215332,-31935.38531796,6104.7,,,2929.18149538,74147.02848608,13116.40686738,58101.44012332,-4995.47100839,26817.02352631,31812.49453469,,,,,,,,,,,,,,,,,,,,
01/08/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,53.2,50.9,50,50.3,51.2,52.9,53.8,,,,,,,,,,,,,,,18155.1,-10381.81314808,-28536.91314808,65.9,47.8,52.4,49.8,52.2,,6641.94402512,99693.98747764,128230.90062572,-28536.91314808,5993.9,,,-4515.90476805,71823.09008657,17410.49195224,58928.50290238,-5861.2409402,27875.5626,33736.8035402,,,,,,,,,,,,,,,,,,,,
01/09/2014,348625.5313,9198.6398,9983.3237,299990.0353,38681.1624,275300.8018,48635.496,20955.1267,27977.3286,20622.0871,47054.0455,61663.8114,119.19180652,,,,,61147.2577,2627.58725133,,7540.9899,36966.9288,17502.5834,,366.94567242,4.51633523,3.32977547,1.10591258,5.45869134,2.92141838,3.19204325,2.60141442,,-0.88204379,,53,52.8,50,49.8,50.9,50.9,51.9,53.2,216900.6,397108.7,,,,,,,,,,,19867.9443,1683.3319,42112.74,-20416.15726024,-62528.89726024,65.4,48.5,52.1,49.7,52.6,,7104.49200825,91374.94799005,153903.84525029,-62528.89726024,6752.3,,,-6773.7473689,63848.58599491,13953.69351243,56668.63985138,-13642.31525493,27526.45844642,41168.77370135,,,,,,,,,,,,,,,,,,,,
01/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,52.2,49.4,50.2,51.1,50.7,50.4,53.2,,,,,,,,,,,,,,,20844.9,3975.12844766,-16869.77155234,64.4,48.5,52,50,50.9,,7014.93312945,105821.93046336,122691.7020157,-16869.77155234,6610.7,,,6867.81212447,78233.36034102,14521.98261762,56843.56559893,-2892.10930269,27589.14605445,30481.25535714,,,,,,,,,,,,,,,,,,,,
01/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,51.7,49.7,49.9,51,49.8,50.6,52.1,,,,,,,,,,,,,,,29046.21,-6364.68252179,-35410.89252179,63.5,48.3,51.6,49.6,50.4,,7035.64448859,102295.61852362,137706.51104541,-35410.89252179,6518.1,,,1548.96826671,73479.01510112,18718.72442108,53211.32241333,-7911.49372932,28818.74962403,36730.24335335,,,,,,,,,,,,,,,,,,,,
01/12/2014,361014.5369,9935.1345,11809.6691,313574.0612,45832.8038,260887.2994,47440.4757,21703.6132,41541.7818,19757.2307,45267.7657,54105.4706,120.36964084,154079.81741907,38338,161848.5477091,1512.44145347,57972.3642,2352.11224873,10718.78376458,8982.0492,40822.459,21433.7538,44070.40100997,409.66389556,3.5032752,4.03481163,2.31051186,6.59326714,2.55979876,2.62071962,2.22571662,41915863.3560275,-0.36929029,3531.6388757,52,51.5,49.1,48.9,50.8,50.7,49.6,51.9,217380.3,398547.4,1183039.11012356,427009.98165529,206556.94381429,206556.94381429,114338.57001455,0,0,481916.87639851,477909.03870919,917050.49103795,23774.4527,2264.7635,40496.71,979.99622827,-39516.71377173,64.2,48.5,51.4,49.6,51.3,81510.54348721,8112.48368195,120602.65625176,160119.37002349,-39516.71377173,6778.3,,,-789.12419077,76885.34845558,21929.02812945,55745.4445169,1769.14671805,43717.33732,41948.19061454,477909.03870919,,,,,,,,,,,,,,,,,,,
01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,51.2,48.6,48.8,50.9,50.1,46.1,52.6,,,,,,,,,,,,,,,16059.71,10560.73482251,-5498.97517749,64.6,49,51.5,49.4,50.9,,5759.04388904,125346.64238007,130845.61755756,-5498.97517749,4934.9,,,16212.33314637,99430.44962099,22489.33810133,60728.77837329,-5651.60241412,25916.19275908,31567.7951732,,,,,,,,,,,,,,,,,,,,
01/02/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,51.4,49.5,50,50.9,50.7,47.5,53.1,,,,,,,,,,,,,,,52207.94,-7453.39868805,-59661.33868805,67.7,48.6,51.9,49.9,50.4,,5802.96421753,91551.03346277,151212.37215082,-59661.33868805,5641.8,,,-1578.00024802,64561.43061791,21735.40895597,44404.02190996,-5875.39936342,26989.60284486,32865.00220828,,,,,,,,,,,,,,,,,,,,
01/03/2015,318740.6791,8815.1258,8703.6296,283589.7107,34532.9761,272134.5328,35150.9684,21092.9829,22506.2883,16392.9372,42836.2384,69096.1689,119.07271739,,,,,48606.22,2199.98047828,,7605.2429,37565.8887,16761.9253,,277.11793667,3.55922052,3.65652321,3.13265831,5.39907338,2.54089228,2.34101619,2.46452922,,0.00477891,,52.2,51.6,49.7,49,50.4,51.2,49.4,53.1,217450.1,399054.8,,,,,,,,,,,16927.1543,2015.4345,66935.76,1546.93499272,-65388.82500728,65.4,48.7,51.6,49.3,50.5,,6892.74669342,97254.08756869,162642.91257597,-65388.82500728,6044.1,,,8069.84874625,70216.15507967,14818.28916655,47328.01716687,-6522.91817448,27037.93248902,33560.8506635,,,,,,,,,,,,,,,,,,,,
01/04/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,50.3,49.3,48.8,50.4,49.6,49.4,51.9,,,,,,,,,,,,,,,-4856.49,10148.16580602,15004.65580602,64.3,49,50.9,49.3,50.3,,6370.93065935,117300.71890418,102296.06309816,15004.65580602,6003.939,,,13260.0594045,86848.59127929,18335.13341855,55253.39845624,-3111.89058634,30452.12762489,33564.01821123,,,,,,,,,,,,,,,,,,,,
01/05/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3,50.5,50.3,49.2,50.7,49.9,52.2,51.6,,,,,,,,,,,,,,,44874.98,-7816.13893006,-52691.11893006,64.1,48.9,51,49.2,49.6,,6446.49036067,97003.76579811,149694.88472817,-52691.11893006,5654.484,,,-1505.00456268,68683.59808443,20033.23936804,50155.36327907,-6311.12966573,28320.16771368,34631.29737941,,,,,,,,,,,,,,,,,,,,
01/06/2015,383671.2964,9796.4369,9339.5772,340468.7012,39766.3881,305405.4131,43202.5952,20833.6183,30965.7469,20393.1939,51486.8335,96561.8332,118.88607637,,,,,54362.1728,2419.9191135,,8058.02,39402.4512,19662.0114,,312.48984866,0.8890623,4.01970664,2.92455796,5.81707213,2.04775012,3.13899795,2.05788667,,2.09519398,,51.5,51.4,50.1,49.9,50.5,50.1,52.3,51.5,217353.9,399829.3,,,,,,,,,,,20250.7063,2545.2069,22280.17,-8224.90338612,-30505.07338612,64.4,49.1,51,49.1,50.5,,6942.24617998,97877.30160828,128382.3749944,-30505.07338612,6224.2053,,,-1958.41390981,70277.29097832,17003.38049259,55232.32439554,-6266.48551117,27600.01272746,33866.49823863,,,,,,,,,,,,,,,,,,,,
01/07/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,50.2,49.1,49.2,50.2,50.3,50.6,51.2,,,,,,,,,,,,,,,55733.08,-7317.90254247,-63050.98254247,62.1,49,50.7,49.2,49.4,,7201.83321191,105173.14747847,168224.13002094,-63050.98254247,6423.8828,,,-1646.30948434,77180.72201922,14596.99759482,64230.03390874,-5671.59212213,27992.42545925,33664.01758138,,,,,,,,,,,,,,,,,,,,
01/08/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,49.8,49.3,48.7,49.8,50,50.4,50.7,,,,,,,,,,,,,,,43452.79,-4862.65441163,-48315.44441163,62,49.5,50.3,49,49.4,,7049.47418447,95395.01513293,143710.45954456,-48315.44441163,6197.2423,,,290.8780393,67429.3358805,16606.8503678,50531.6074734,-5153.53350817,27965.67925243,33119.2127606,,,,,,,,,,,,,,,,,,,,
01/09/2015,360198.0997,9843.1924,11311.2456,310912.1839,39575.7137,288107.5199,49285.9158,21801.5129,30448.9591,22016.1667,46262.1319,63628.3463,121.23478428,,,,,61113.6729,2312.89839265,,7709.402,38606.4196,20187.3012,,315.29316192,-0.33923665,4.28310553,3.44557418,6.2656992,3.2240349,2.19128612,2.59321744,,1.93417678,,50.6,50.2,48.5,48.8,49.4,50.7,48.4,50.5,217249.9,400660.3,,,,,,,,,,,20505.011,2208.3374,69198.46,-6804.48509626,-76002.94509626,62.6,48.9,50.2,50.1,48.9,,7563.60260362,95470.95724701,171473.90234327,-76002.94509626,6365.1964,,,2885.791337,68163.10343402,13215.76792998,52061.54416704,-9690.27784229,27307.85381299,36998.13165528,,,,,,,,,,,,,,,,,,,,
01/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,50,48.5,49.1,50.1,50.4,48.2,51.3,,,,,,,,,,,,,,,7409.58,-12182.13944848,-19591.71944848,62.1,49.1,50.8,49.1,50.9,,7355.83464773,102934.2674057,122525.98685418,-19591.71944848,7056.9183,,,7525.18774686,76892.91343474,16521.04719131,52846.67849657,-19807.38445569,26041.35537686,45848.73983255,,,,,,,,,,,,,,,,,,,,
01/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,50.4,48.1,48.8,50,50.1,48.1,51.9,,,,,,,,,,,,,,,10361.36,-21131.6551498,-31493.0151498,61.8,49.2,50.7,48.7,50.8,,7284.41023084,91956.52015752,123449.53530732,-31493.0151498,6861.2074,,,-6384.77987416,66003.28487533,17878.09486223,54509.96988726,-14797.7059678,25953.23528219,40750.94124999,,,,,,,,,,,,,,,,,,,,
01/12/2015,371696.4355,10520.592,13289.3161,324755.4738,45485.5463,280910.3131,46940.9617,21886.5226,43840.8911,22544.2633,43810.5352,54422.7065,122.57255396,149491.4351585,29739.25021378,163467,1264.4770706,59997.0875,2252.95934659,9185.75733102,10919.1382,43110.5925,22958.0922,44511.09598366,359.57612335,-0.81033653,4.05146804,3.10457251,6.70739919,3.41471158,1.89194911,2.73145486,45119612.0592637,1.03068863,3369.797848,50.3,50,48.6,48.9,50.1,50.1,48,51.2,218180.3,402603.2,1226569.79869662,445203.21980572,226677.6750412,226677.6750412,86631.32577174,0,0,527440.76617134,482628.81158276,995498.3442493,24656.2352,4083.8231,44570.49,-61359.20239797,-105929.69239797,61.9,49.3,50.4,49.7,50.2,84536.45969998,8424.72772143,129819.83519828,235749.52759625,-105929.69239797,5902.5048,,,-64494.88886278,81124.41663948,22525.04807827,123094.25742399,3041.82346704,48695.4185588,45653.59509176,484169.84015521,,,,,,,,,,,,,,,,,,,
01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,50.7,49.6,49,50,49.9,48,51.1,,,,,,,,,,,,,,,52973.73,14848.28390335,-38125.44609665,62.7,49.4,50.6,49.4,50,,5797.51829022,141160.98460358,179286.43070024,-38125.44609665,5768.1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,49.3,49.2,48.6,49.2,49,48.5,50.2,,,,,,,,,,,,,,,21028.79,-25394.75020804,-46423.54020804,63.4,50,49.9,48.5,49.4,,5986.42031706,89576.54336256,136000.0835706,-46423.54020804,6466.6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2016,333041.5262,8369.2087,9981.4608,294223.3859,35889.0609,277509.0495,38818.1403,21188.6648,23319.9995,18767.241,44353.0627,72120.0319,121.70341112,,,,,49326.7795,2231.78065051,,8505.1259,39005.7001,18053.3522,,285.87405215,-0.66948211,4.57910264,3.44964248,7.00102992,2.87363458,1.15617984,2.73949839,,0.40059689,,51.8,50.7,50,48.9,49.3,49.7,50.1,51.6,219174.8,405840.4,,,,,,,,,,,18612.8665,2672.069,-5287.92,-7758.74815886,-2470.82815886,64,49.4,50.8,48.9,50,,7166.28489272,98153.10554006,100623.93369891,-2470.82815886,7020.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,49.4,50.9,48.4,49.1,49.3,52.4,50.8,,,,,,,,,,,,,,,18875.18,8811.89594146,-10063.28405854,63.1,48.4,50.4,47.5,49.6,,6615.16275861,119396.13259561,129459.41665415,-10063.28405854,6717.4733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,50.3,50.9,48.3,49.4,49.4,53,50.7,,,,,,,,,,,,,,,36022.03,-16871.40600528,-52893.43600528,62.6,48.7,50.4,48.5,49.4,,6736.71873374,96453.30884251,149346.74484778,-52893.43600528,6151.8559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2016,385371.531,8106.9468,10451.9409,341865.5667,41174.4593,321818.7783,43505.9643,21287.5845,30875.2187,21124.97,45415.4019,98754.1482,121.79589014,,,,,56745.8175,2650.11697856,,9117.8969,39622.7439,21487.8676,,336.29126615,1.64887083,4.82956584,3.80219471,6.91998202,3.64291848,1.79067648,3.31692277,,0.29033869,,51.2,50.6,50.9,48.8,49.8,50.7,52.5,50.7,221592.4,411141.8,,,,,,,,,,,21453.8514,2653.3227,15374.4,-9699.13744982,-25073.53744982,62.3,48.6,50.6,48.6,50.4,,7206.30340765,100285.64653283,125359.18398265,-25073.53744982,6887.9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,51.5,51.7,49.1,50,51.1,53.7,52.4,,,,,,,,,,,,,,,28363.72,-19298.67892592,-47662.39892592,62.8,49.2,51.1,49,50.7,,7396.69673461,107811.51387324,155473.91279916,-47662.39892592,7033.4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,50.9,50.5,48.9,49.4,50.6,52.9,52.2,,,,,,,,,,,,,,,34865.95,-20150.35501165,-55016.30501165,61.2,49.1,50.9,48.9,51,,7221.35539229,91256.71011917,146273.01513082,-55016.30501165,6883.9317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
